City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,talnakh,69.4865,88.3972,12.34,92,100,3.47,RU,1692710036
125,fandrandava,-21.5208,47.2453,19.55,66,7,3.93,MG,1692710238
126,itoman,26.1247,127.6694,28.21,78,20,1.54,JP,1692710097
127,codrington,-38.2667,141.9667,6.5,78,58,4.15,AU,1692710239
128,bamiantong,44.9333,130.5333,19.93,93,100,2.81,CN,1692710164
129,khalkhal,37.6189,48.5258,30.19,19,38,4.71,IR,1692710239
130,kirakira,-10.4544,161.9205,25.59,90,100,4.16,SB,1692710239
131,berezovyy,51.6667,135.7,15.83,96,100,0.96,RU,1692710239
132,ilulissat,69.2167,-51.1,10.01,57,40,4.12,GL,1692710239
133,hermanus,-34.4187,19.2345,14.2,81,100,13.04,ZA,1692710240
134,hamilton,39.1834,-84.5333,24.99,81,0,3.6,US,1692710240
135,enewetak,11.3474,162.3373,29.09,76,100,7.64,MH,1692710240
136,zaozersk,69.4005,32.4476,9.68,79,100,2.66,RU,1692710240
137,libreville,0.3925,9.4537,27.32,70,98,3.73,GA,1692710240
138,palu,-0.8917,119.8707,24.66,96,49,0.96,ID,1692710121
139,labrador city,52.9463,-66.9114,7.95,87,75,5.14,CA,1692710241
140,khanty-mansiysk,61.0042,69.0019,13.06,100,40,3.13,RU,1692710005
141,westport,41.1415,-73.3579,21.02,69,20,5.14,US,1692710241
142,kruisfontein,-34.0033,24.7314,22.63,28,5,3.22,ZA,1692710241
143,georgetown,5.4112,100.3354,29.97,79,20,2.06,MY,1692710242
144,hawaiian paradise park,19.5933,-154.9731,23.35,97,0,3.09,US,1692710242
145,betio village,1.358,172.9211,29.02,71,89,4.13,KI,1692710242
146,rongelap,11.1635,166.8941,28.47,77,75,6.84,MH,1692710243
147,paracuru,-3.41,-39.0306,27.84,62,76,7.27,BR,1692710243
148,arkhangel'sk,64.5401,40.5433,11.22,69,100,3.07,RU,1692710243
149,magadan,59.5667,150.8,13.63,82,100,2.52,RU,1692709980
150,puerto baquerizo moreno,-0.9,-89.6,24.45,76,85,4.84,EC,1692710243
151,manokwari,-0.8667,134.0833,26.39,79,100,1.32,ID,1692710216
152,hatillo,18.4863,-66.8254,28.95,83,95,2.02,PR,1692710244
153,urubamba,-13.3047,-72.1158,11.5,63,9,0.39,PE,1692710244
154,starokucherganovka,46.3248,47.9555,36.96,22,40,8.05,RU,1692710244
155,praia,14.9215,-23.5087,29.3,79,75,3.6,CV,1692710244
156,minot,48.2325,-101.2963,15.12,94,100,2.57,US,1692710202
157,taoudenni,22.6783,-3.9836,43.76,13,54,2.42,ML,1692710245
158,greymouth,-42.4667,171.2,4.22,90,62,2.26,NZ,1692710245
159,yangambi,0.8102,24.4336,36.68,32,31,0.86,CD,1692710245
160,dudinka,69.4058,86.1778,12.57,92,93,3.62,RU,1692710093
161,perry,37.2506,-83.1999,25.4,83,100,1.03,US,1692710246
162,bayanhongor,46.7167,100.1167,8.54,86,100,0.81,MN,1692710246
163,champerico,14.3,-91.9167,24.3,83,100,2.9,GT,1692710246
164,mae hong son,19.3003,97.9685,24.53,98,100,1.18,TH,1692710238
165,gloversville,43.0528,-74.3438,17.98,87,52,0.85,US,1692710246
166,alamo,20.9167,-97.6833,24.8,87,9,1.78,MX,1692710246
167,micheweni,-4.9667,39.8333,27.12,64,9,4.83,TZ,1692710246
168,sanctuary point,-35.1114,150.629,15.42,93,100,2.73,AU,1692710247
169,st. john's,47.5649,-52.7093,17.93,97,100,4.12,CA,1692710247
170,ilebo,-4.3167,20.5833,39.57,20,86,0.73,CD,1692710248
171,tura,25.5198,90.2201,23.53,95,100,3.51,IN,1692710248
172,canitas de felipe pescador,23.6,-102.7167,14.92,76,7,2.77,MX,1692710248
173,puerto ayora,-0.7393,-90.3518,24.75,90,100,2.68,EC,1692710248
174,nagqu,31.5,92.0,9.16,62,3,1.17,CN,1692710249
175,flying fish cove,-10.4217,105.6791,24.82,83,100,6.17,CX,1692710249
176,sao jose da coroa grande,-8.8978,-35.1478,27.02,72,93,5.08,BR,1692710249
177,nadi,-17.8,177.4167,22.0,78,40,5.14,FJ,1692710180
178,lebu,-37.6167,-73.65,9.95,89,100,2.2,CL,1692710241
179,nantucket,41.2835,-70.0995,20.57,75,100,7.2,US,1692710250
180,sangin,32.0728,64.8359,38.51,6,0,5.59,AF,1692710250
181,castillos,-34.1667,-53.8333,14.87,97,100,3.85,UY,1692710250
182,tondano,1.3038,124.9112,24.05,92,100,2.54,ID,1692710251
183,tarasovskiy,48.7292,40.3636,29.2,34,0,5.64,RU,1692710251
184,bamboo flat,11.7,92.7167,27.18,83,100,4.28,IN,1692710252
185,okhotsk,59.3833,143.3,12.2,90,21,1.83,RU,1692710252
186,ulundi,-28.3352,31.4162,28.97,16,0,4.13,ZA,1692710252
187,laboulaye,-34.1266,-63.3912,10.58,40,8,7.95,AR,1692710252
188,port elizabeth,-33.918,25.5701,21.16,40,0,3.09,ZA,1692710025
189,nar'yan-mar,67.6713,53.087,13.15,68,79,4.86,RU,1692710041
190,uthai thani,15.3833,99.55,26.61,80,100,2.39,TH,1692710253
191,robertsport,6.7533,-11.3686,27.2,77,60,5.41,LR,1692710253
192,santa vitoria do palmar,-33.5189,-53.3681,15.7,94,100,3.15,BR,1692710248
193,amungan,15.3652,119.9582,27.8,81,96,0.99,PH,1692710253
194,port mathurin,-19.6833,63.4167,23.19,79,1,7.85,MU,1692710253
195,tadine,-21.55,167.8833,20.06,65,100,6.56,NC,1692710254
196,razdol'noye,45.7708,33.4878,32.87,33,0,4.2,UA,1692710254
197,east london,-33.0153,27.9116,20.52,56,0,3.09,ZA,1692710021
198,new norfolk,-42.7826,147.0587,7.16,95,12,1.6,AU,1692710254
199,polyarnyy,69.1989,33.4478,9.36,82,100,3.23,RU,1692710254
200,palangkaraya,-2.2,113.8333,26.75,69,45,1.9,ID,1692710255
201,farafangana,-22.8167,47.8333,24.1,76,0,5.19,MG,1692710255
202,lompoc,34.6391,-120.4579,17.18,86,20,1.34,US,1692710255
203,ar rass,25.8694,43.4973,43.28,6,5,5.92,SA,1692710256
204,santana,-0.0583,-51.1817,31.1,70,75,3.6,BR,1692710256
205,saguenay,48.4168,-71.0657,13.93,79,75,5.66,CA,1692710256
206,carlsbad,33.1581,-117.3506,19.63,93,0,1.34,US,1692710256
207,cidreira,-30.1811,-50.2056,18.25,84,100,6.97,BR,1692710257
208,asipovichy,53.2933,28.6422,23.76,41,83,5.0,BY,1692710257
209,guajara mirim,-10.7828,-65.3394,30.09,62,0,2.57,BR,1692710258
210,udachny,66.4167,112.4,6.92,65,11,3.56,RU,1692710125
211,ayacucho,-13.1583,-74.2239,13.92,28,0,1.54,PE,1692710188
212,ibiuna,-23.6564,-47.2225,24.89,39,0,3.46,BR,1692710258
213,gympie,-26.1898,152.665,13.33,96,11,0.64,AU,1692710258
214,puerto lempira,15.2667,-83.7667,27.08,78,75,2.06,HN,1692710259
215,lazaro cardenas,17.9583,-102.2,25.19,86,4,2.14,MX,1692710259
216,cooper's town,26.8667,-77.5167,28.39,69,0,7.44,BS,1692710259
217,kailua-kona,19.6406,-155.9956,25.28,88,100,3.09,US,1692710059
218,susuman,62.7833,148.1667,3.07,98,100,2.14,RU,1692710260
219,souillac,-20.5167,57.5167,22.21,88,75,3.09,MU,1692710260
